codigo_rastreio|tipo_ocorrencia|descricao_ocorrencia|data_ocorrencia|hora_ocorrencia|cpf_destinatario|nome_destinatario|cep_destino|cidade_destino|uf_destino|peso_gramas|valor_declarado
AA100000159BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|22/12/2024|20:20|140.105.123-82|ISABELA FREITAS|30130-110|BELO HORIZONTE|MG|2811|279.92
AA100000160BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|28/04/2024|18:40|226.609.379-66|JOAO DA SILVA|88010-400|FLORIANOPOLIS|SC|1859|102.89
AA100000161BR|EXT|OBJETO EXTRAVIADO|02/02/2024|09:51|825.537.147-85|NATALIA ROCHA|69005-010|MANAUS|AM|3315|293.50
AA100000162BR|OEC|OBJETO EM ROTA DE ENTREGA|29/06/2024|20:39|249.912.513-41|FERNANDA SANTOS|80010-010|CURITIBA|PR|1258|255.41
AA100000163BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|01/11/2024|10:36|662.782.827-42|FERNANDA SANTOS|80010-010|CURITIBA|PR|3794|309.70
AA100000164BR|OEC|OBJETO EM ROTA DE ENTREGA|05/01/2024|21:08|368.876.767-72|PEDRO OLIVEIRA|74110-010|GOIANIA|GO|352|397.94
AA100000165BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|29/05/2024|07:17|384.279.788-19|ANA COSTA|60150-160|FORTALEZA|CE|4549|411.64
AA100000166BR|OEC|OBJETO EM ROTA DE ENTREGA|04/10/2024|07:48|783.613.407-45|PEDRO OLIVEIRA|50010-000|RECIFE|PE|1061|387.82
AA100000167BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|17/04/2024|17:55|962.923.309-58|RAFAEL RODRIGUES|74110-010|GOIANIA|GO|4513|84.19
AA100000168BR|EXT|OBJETO EXTRAVIADO|29/05/2024|15:36|481.260.422-32|BRUNO FERREIRA|59010-000|NATAL|RN|2127|380.74
AA100000169BR|EXT|OBJETO EXTRAVIADO|20/07/2024|21:09|946.671.168-45|THIAGO ARAUJO|50010-000|RECIFE|PE|2781|290.98
AA100000170BR|EXT|OBJETO EXTRAVIADO|17/02/2024|20:40|518.636.374-54|BRUNO FERREIRA|90010-160|PORTO ALEGRE|RS|4834|65.30
AA100000171BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|24/06/2024|07:02|170.127.706-32|PATRICIA LIMA|30130-110|BELO HORIZONTE|MG|2344|46.67
AA100000172BR|OEC|OBJETO EM ROTA DE ENTREGA|08/05/2024|08:23|206.436.110-37|PEDRO OLIVEIRA|30130-110|BELO HORIZONTE|MG|4963|113.10
AA100000173BR|EXT|OBJETO EXTRAVIADO|15/08/2024|06:00|516.271.361-11|BRUNO FERREIRA|80010-010|CURITIBA|PR|2551|68.56
AA100000174BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|24/11/2024|10:04|890.927.532-69|THIAGO ARAUJO|59010-000|NATAL|RN|1879|43.34
AA100000175BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|12/03/2024|09:37|656.523.413-89|NATALIA ROCHA|88010-400|FLORIANOPOLIS|SC|2434|389.48
AA100000176BR|EXT|OBJETO EXTRAVIADO|14/01/2024|15:13|898.364.037-61|JULIANA ALVES|50010-000|RECIFE|PE|4965|35.51
AA100000177BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|03/07/2024|16:08|696.582.710-91|JOAO DA SILVA|60150-160|FORTALEZA|CE|1867|19.91
AA100000178BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|22/07/2024|22:18|866.618.892-41|PATRICIA LIMA|20040-020|RIO DE JANEIRO|RJ|4288|460.46
AA100000179BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|01/10/2024|16:25|914.630.316-17|NATALIA ROCHA|74110-010|GOIANIA|GO|550|154.65
AA100000180BR|EXT|OBJETO EXTRAVIADO|02/12/2024|11:07|020.275.884-25|CARLOS LIMA|88010-400|FLORIANOPOLIS|SC|2301|366.47
AA100000181BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/01/2024|16:51|648.149.177-85|MARIA SOUZA|50010-000|RECIFE|PE|4743|83.44
AA100000182BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|10/05/2024|09:57|913.800.030-75|DIEGO NASCIMENTO|57020-480|MACEIO|AL|1329|89.48
AA100000183BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|10/10/2024|19:14|536.541.951-80|FERNANDA SANTOS|40020-010|SALVADOR|BA|4325|490.71
AA100000184BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|05/02/2024|20:55|445.187.053-49|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|2087|231.96
AA100000185BR|RDE|OBJETO RETORNOU AO REMETENTE|09/09/2024|12:46|832.060.385-05|JOAO DA SILVA|29010-330|VITORIA|ES|3182|424.50
AA100000186BR|EXT|OBJETO EXTRAVIADO|06/06/2024|09:13|836.702.410-38|LARISSA CARVALHO|88010-400|FLORIANOPOLIS|SC|3151|229.23
AA100000187BR|EXT|OBJETO EXTRAVIADO|13/02/2024|09:32|261.990.623-44|BRUNO FERREIRA|57020-480|MACEIO|AL|3319|350.36
AA100000188BR|EXT|OBJETO EXTRAVIADO|16/06/2024|16:28|431.329.121-27|THIAGO ARAUJO|80010-010|CURITIBA|PR|3430|60.37
AA100000189BR|OEC|OBJETO EM ROTA DE ENTREGA|16/04/2024|20:19|741.124.903-52|PEDRO OLIVEIRA|88010-400|FLORIANOPOLIS|SC|2133|484.20
AA100000190BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|19/09/2024|07:43|442.067.883-17|ANA COSTA|29010-330|VITORIA|ES|1245|60.73
AA100000191BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|23/04/2024|10:12|651.994.101-37|CARLOS LIMA|20040-020|RIO DE JANEIRO|RJ|2816|61.26
AA100000192BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|26/01/2024|11:59|966.706.625-32|RAFAEL RODRIGUES|60150-160|FORTALEZA|CE|3753|441.71
AA100000193BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|10/11/2024|13:41|476.870.146-26|LUCAS PEREIRA|66015-110|BELEM|PA|4407|124.57
AA100000194BR|RDE|OBJETO RETORNOU AO REMETENTE|10/01/2024|18:50|578.759.856-42|JOAO DA SILVA|80010-010|CURITIBA|PR|4991|109.51
AA100000195BR|OEC|OBJETO EM ROTA DE ENTREGA|30/01/2024|21:33|593.213.348-03|LEONARDO BARBOSA|59010-000|NATAL|RN|3281|177.40
AA100000196BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|31/03/2024|13:37|559.059.929-37|ISABELA FREITAS|60150-160|FORTALEZA|CE|1538|245.22
AA100000197BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|29/01/2024|13:38|308.705.932-52|BRUNO FERREIRA|01310-100|SAO PAULO|SP|279|73.86
AA100000198BR|EXT|OBJETO EXTRAVIADO|13/03/2024|09:54|851.569.154-52|FERNANDA SANTOS|88010-400|FLORIANOPOLIS|SC|3678|395.92
AA100000199BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|28/11/2024|16:11|895.392.644-22|JOAO DA SILVA|88010-400|FLORIANOPOLIS|SC|4792|195.80
AA100000200BR|RDE|OBJETO RETORNOU AO REMETENTE|17/01/2024|11:38|593.917.251-35|BRUNO FERREIRA|30130-110|BELO HORIZONTE|MG|826|410.83
AA100000201BR|EXT|OBJETO EXTRAVIADO|23/11/2024|16:28|043.315.410-06|THIAGO ARAUJO|88010-400|FLORIANOPOLIS|SC|3537|484.55
AA100000202BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|09/09/2024|18:22|861.793.271-04|JOAO DA SILVA|80010-010|CURITIBA|PR|2239|475.83
AA100000203BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|24/06/2024|11:56|621.815.997-06|FERNANDA SANTOS|74110-010|GOIANIA|GO|3656|78.55
AA100000204BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|18/06/2024|12:12|688.444.310-69|ISABELA FREITAS|59010-000|NATAL|RN|4121|76.79
AA100000205BR|OEC|OBJETO EM ROTA DE ENTREGA|02/01/2024|19:05|497.310.324-17|ANA COSTA|60150-160|FORTALEZA|CE|3356|235.47
AA100000206BR|EXT|OBJETO EXTRAVIADO|15/05/2024|08:41|862.565.270-47|THIAGO ARAUJO|60150-160|FORTALEZA|CE|1953|418.54
AA100000207BR|RDE|OBJETO RETORNOU AO REMETENTE|01/02/2024|10:48|115.869.380-68|LARISSA CARVALHO|90010-160|PORTO ALEGRE|RS|3989|286.36
AA100000208BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|31/08/2024|15:05|608.989.921-72|FERNANDA SANTOS|40020-010|SALVADOR|BA|1678|63.09
AA100000209BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|10/02/2024|19:12|294.511.686-85|RAFAEL RODRIGUES|90010-160|PORTO ALEGRE|RS|3853|458.58
AA100000210BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|24/12/2024|22:50|616.229.991-19|ANA COSTA|29010-330|VITORIA|ES|2443|433.74
AA100000211BR|OEC|OBJETO EM ROTA DE ENTREGA|29/07/2024|14:24|799.702.462-99|DIEGO NASCIMENTO|01310-100|SAO PAULO|SP|3342|444.79
AA100000212BR|OEC|OBJETO EM ROTA DE ENTREGA|19/12/2024|13:03|745.054.447-13|CARLOS LIMA|60150-160|FORTALEZA|CE|3729|387.02
AA100000213BR|OEC|OBJETO EM ROTA DE ENTREGA|17/05/2024|19:38|137.367.850-82|PEDRO OLIVEIRA|60150-160|FORTALEZA|CE|4251|201.69
AA100000214BR|RDE|OBJETO RETORNOU AO REMETENTE|18/10/2024|06:11|330.307.053-45|THIAGO ARAUJO|90010-160|PORTO ALEGRE|RS|3351|317.70
AA100000215BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|14/12/2024|06:15|579.727.985-52|RAFAEL RODRIGUES|88010-400|FLORIANOPOLIS|SC|840|142.53
AA100000216BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|26/01/2024|11:54|933.334.680-07|CARLOS LIMA|66015-110|BELEM|PA|1518|300.57
AA100000217BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|24/04/2024|14:38|446.657.437-48|NATALIA ROCHA|69005-010|MANAUS|AM|4888|51.16
AA100000218BR|RDE|OBJETO RETORNOU AO REMETENTE|05/12/2024|17:35|994.417.154-54|RAFAEL RODRIGUES|66015-110|BELEM|PA|2547|94.18
AA100000219BR|RDE|OBJETO RETORNOU AO REMETENTE|03/05/2024|07:51|965.207.446-66|MARIA SOUZA|74110-010|GOIANIA|GO|4786|408.01
AA100000220BR|OEC|OBJETO EM ROTA DE ENTREGA|23/04/2024|21:58|584.282.417-24|ISABELA FREITAS|29010-330|VITORIA|ES|1599|473.46
AA100000221BR|OEC|OBJETO EM ROTA DE ENTREGA|01/12/2024|08:14|534.655.494-71|AMANDA RIBEIRO|01310-100|SAO PAULO|SP|4880|290.16
AA100000222BR|RDE|OBJETO RETORNOU AO REMETENTE|06/02/2024|21:56|381.684.602-23|BRUNO FERREIRA|69005-010|MANAUS|AM|4764|446.42
AA100000223BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/03/2024|16:55|217.525.007-43|FERNANDA SANTOS|74110-010|GOIANIA|GO|1397|244.79
AA100000224BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|07/03/2024|19:40|666.760.083-50|BRUNO FERREIRA|29010-330|VITORIA|ES|4450|95.29
AA100000225BR|EXT|OBJETO EXTRAVIADO|03/01/2024|13:14|542.168.942-10|PATRICIA LIMA|60150-160|FORTALEZA|CE|3834|363.92
AA100000226BR|RDE|OBJETO RETORNOU AO REMETENTE|25/09/2024|16:27|257.532.603-32|LUCAS PEREIRA|88010-400|FLORIANOPOLIS|SC|279|294.85
AA100000227BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|04/03/2024|17:45|064.890.901-00|ANA COSTA|69005-010|MANAUS|AM|3739|190.13
AA100000228BR|RDE|OBJETO RETORNOU AO REMETENTE|09/05/2024|21:44|230.461.849-92|LARISSA CARVALHO|59010-000|NATAL|RN|959|255.79
AA100000229BR|RDE|OBJETO RETORNOU AO REMETENTE|01/03/2024|15:07|173.934.835-64|FERNANDA SANTOS|01310-100|SAO PAULO|SP|4590|248.18
AA100000230BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|18/12/2024|21:21|300.119.721-81|ANA COSTA|57020-480|MACEIO|AL|2196|322.17
AA100000231BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|31/05/2024|14:29|012.045.561-10|JOAO DA SILVA|59010-000|NATAL|RN|1233|331.68
AA100000232BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|17/06/2024|17:57|794.155.216-67|RAFAEL RODRIGUES|59010-000|NATAL|RN|3259|344.95
AA100000233BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|03/08/2024|11:07|202.169.797-29|DIEGO NASCIMENTO|29010-330|VITORIA|ES|3037|305.68
AA100000234BR|EXT|OBJETO EXTRAVIADO|07/03/2024|21:58|716.701.450-89|LEONARDO BARBOSA|40020-010|SALVADOR|BA|2871|259.55
AA100000235BR|EXT|OBJETO EXTRAVIADO|24/12/2024|09:27|375.628.900-28|AMANDA RIBEIRO|59010-000|NATAL|RN|4161|434.71
AA100000236BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|08/09/2024|16:15|540.838.663-17|THIAGO ARAUJO|29010-330|VITORIA|ES|4794|224.05
AA100000237BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|16/08/2024|16:07|701.660.880-19|NATALIA ROCHA|66015-110|BELEM|PA|2595|445.06
AA100000238BR|RDE|OBJETO RETORNOU AO REMETENTE|15/04/2024|20:21|503.758.997-57|ANA COSTA|20040-020|RIO DE JANEIRO|RJ|1916|1.10
AA100000239BR|OEC|OBJETO EM ROTA DE ENTREGA|20/11/2024|15:35|851.027.261-49|LUCAS PEREIRA|40020-010|SALVADOR|BA|1089|465.11
AA100000240BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|20/04/2024|20:52|351.609.177-98|CARLOS LIMA|50010-000|RECIFE|PE|135|265.18
AA100000241BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|10/10/2024|19:53|978.292.216-99|BRUNO FERREIRA|90010-160|PORTO ALEGRE|RS|3251|209.33
AA100000242BR|RDE|OBJETO RETORNOU AO REMETENTE|20/12/2024|13:17|654.722.698-48|BRUNO FERREIRA|88010-400|FLORIANOPOLIS|SC|4634|316.29
AA100000243BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|17/04/2024|15:43|522.885.158-79|LEONARDO BARBOSA|66015-110|BELEM|PA|3519|337.12
AA100000244BR|RDE|OBJETO RETORNOU AO REMETENTE|26/05/2024|19:51|081.062.003-42|PATRICIA LIMA|66015-110|BELEM|PA|2152|73.21
AA100000245BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|19/12/2024|15:13|805.719.838-63|GABRIEL MENDES|29010-330|VITORIA|ES|2456|346.47
AA100000246BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|14/07/2024|18:26|580.043.973-59|ISABELA FREITAS|88010-400|FLORIANOPOLIS|SC|1709|388.07
AA100000247BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|30/05/2024|20:11|122.816.064-84|CARLOS LIMA|30130-110|BELO HORIZONTE|MG|4884|423.01
AA100000248BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|18/06/2024|20:45|202.590.947-98|CAMILA MARTINS|20040-020|RIO DE JANEIRO|RJ|2703|262.70
AA100000249BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|23/09/2024|08:50|826.886.153-35|BRUNO FERREIRA|80010-010|CURITIBA|PR|2504|109.22
AA100000250BR|RDE|OBJETO RETORNOU AO REMETENTE|28/09/2024|21:35|015.739.930-56|ANA COSTA|69005-010|MANAUS|AM|2201|270.12
AA100000251BR|OEC|OBJETO EM ROTA DE ENTREGA|13/01/2024|22:52|588.770.435-81|ANA COSTA|30130-110|BELO HORIZONTE|MG|4507|266.60
AA100000252BR|EXT|OBJETO EXTRAVIADO|03/02/2024|12:42|361.386.120-75|MARIA SOUZA|20040-020|RIO DE JANEIRO|RJ|700|27.13
AA100000253BR|OEC|OBJETO EM ROTA DE ENTREGA|12/10/2024|08:36|346.676.650-61|ISABELA FREITAS|01310-100|SAO PAULO|SP|618|377.98
AA100000254BR|RDE|OBJETO RETORNOU AO REMETENTE|24/01/2024|08:22|814.491.476-60|AMANDA RIBEIRO|30130-110|BELO HORIZONTE|MG|4470|109.93
AA100000255BR|EXT|OBJETO EXTRAVIADO|19/07/2024|15:40|245.088.210-09|NATALIA ROCHA|69005-010|MANAUS|AM|4500|273.76
AA100000256BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|05/06/2024|12:47|536.822.239-43|ANA COSTA|30130-110|BELO HORIZONTE|MG|4747|426.13
AA100000257BR|RDE|OBJETO RETORNOU AO REMETENTE|24/08/2024|08:18|141.397.552-31|PATRICIA LIMA|74110-010|GOIANIA|GO|671|450.06
AA100000258BR|OEC|OBJETO EM ROTA DE ENTREGA|05/09/2024|20:21|949.299.556-20|BRUNO FERREIRA|40020-010|SALVADOR|BA|1914|356.10
AA100000259BR|EXT|OBJETO EXTRAVIADO|11/08/2024|14:53|525.777.547-81|FERNANDA SANTOS|66015-110|BELEM|PA|771|420.90
AA100000260BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|02/10/2024|12:16|110.809.969-30|ISABELA FREITAS|60150-160|FORTALEZA|CE|4552|446.99
AA100000261BR|RDE|OBJETO RETORNOU AO REMETENTE|29/08/2024|10:23|639.427.881-65|GABRIEL MENDES|01310-100|SAO PAULO|SP|2056|423.99
AA100000262BR|RDE|OBJETO RETORNOU AO REMETENTE|16/12/2024|11:48|827.229.927-50|JULIANA ALVES|29010-330|VITORIA|ES|4094|115.87
AA100000263BR|OEC|OBJETO EM ROTA DE ENTREGA|08/07/2024|13:02|385.677.005-18|RAFAEL RODRIGUES|59010-000|NATAL|RN|2257|289.32
AA100000264BR|RDE|OBJETO RETORNOU AO REMETENTE|30/03/2024|18:41|659.184.638-65|CAMILA MARTINS|50010-000|RECIFE|PE|4049|443.59
AA100000265BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|13/09/2024|10:28|231.843.222-59|ANA COSTA|66015-110|BELEM|PA|1986|207.31
AA100000266BR|OEC|OBJETO EM ROTA DE ENTREGA|28/02/2024|21:43|773.926.030-29|LEONARDO BARBOSA|30130-110|BELO HORIZONTE|MG|1203|314.77
AA100000267BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|20/10/2024|10:03|242.869.904-13|THIAGO ARAUJO|74110-010|GOIANIA|GO|3961|433.65
AA100000268BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|22/04/2024|19:38|292.984.257-99|PEDRO OLIVEIRA|40020-010|SALVADOR|BA|3198|192.73
AA100000269BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|09/01/2024|12:33|862.912.799-08|GABRIEL MENDES|29010-330|VITORIA|ES|1062|46.59
AA100000270BR|EXT|OBJETO EXTRAVIADO|07/03/2024|06:57|686.508.637-65|LEONARDO BARBOSA|29010-330|VITORIA|ES|4819|48.86
AA100000271BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|10/05/2024|21:49|314.986.430-09|GABRIEL MENDES|20040-020|RIO DE JANEIRO|RJ|4357|3.60
AA100000272BR|EXT|OBJETO EXTRAVIADO|15/04/2024|16:26|512.694.486-95|NATALIA ROCHA|60150-160|FORTALEZA|CE|3355|377.49
AA100000273BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|09/10/2024|21:11|588.744.956-21|JULIANA ALVES|50010-000|RECIFE|PE|1425|50.14
AA100000274BR|RDE|OBJETO RETORNOU AO REMETENTE|24/07/2024|16:51|890.260.127-96|PEDRO OLIVEIRA|20040-020|RIO DE JANEIRO|RJ|2255|110.89
AA100000275BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|07/11/2024|07:46|669.849.027-70|LUCAS PEREIRA|59010-000|NATAL|RN|4344|143.00
AA100000276BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|02/11/2024|22:33|392.053.021-46|CAMILA MARTINS|66015-110|BELEM|PA|3337|202.73
AA100000277BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|22/09/2024|06:47|118.489.554-39|LUCAS PEREIRA|50010-000|RECIFE|PE|3409|287.45
AA100000278BR|OEC|OBJETO EM ROTA DE ENTREGA|30/03/2024|19:32|181.845.184-89|RAFAEL RODRIGUES|88010-400|FLORIANOPOLIS|SC|3727|483.03
AA100000279BR|RDE|OBJETO RETORNOU AO REMETENTE|04/09/2024|13:48|577.907.141-63|JULIANA ALVES|29010-330|VITORIA|ES|2686|206.21
AA100000280BR|OEC|OBJETO EM ROTA DE ENTREGA|21/09/2024|06:44|434.165.182-75|CAMILA MARTINS|40020-010|SALVADOR|BA|4799|134.54
AA100000281BR|EXT|OBJETO EXTRAVIADO|15/12/2024|12:31|333.433.339-52|ANA COSTA|20040-020|RIO DE JANEIRO|RJ|742|337.91
AA100000282BR|EXT|OBJETO EXTRAVIADO|09/09/2024|06:48|807.595.794-72|GABRIEL MENDES|60150-160|FORTALEZA|CE|3359|111.05
AA100000283BR|RDE|OBJETO RETORNOU AO REMETENTE|06/03/2024|07:33|678.085.627-18|THIAGO ARAUJO|80010-010|CURITIBA|PR|168|5.91
AA100000284BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|13/07/2024|09:20|594.284.347-95|CAMILA MARTINS|30130-110|BELO HORIZONTE|MG|4185|211.97
AA100000285BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|24/12/2024|17:23|647.292.931-43|ISABELA FREITAS|69005-010|MANAUS|AM|3220|98.03
AA100000286BR|EXT|OBJETO EXTRAVIADO|17/03/2024|21:51|026.728.857-44|ISABELA FREITAS|59010-000|NATAL|RN|4751|23.85
AA100000287BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|19/12/2024|11:03|347.175.455-88|RAFAEL RODRIGUES|80010-010|CURITIBA|PR|262|205.88
AA100000288BR|OEC|OBJETO EM ROTA DE ENTREGA|13/12/2024|12:36|982.455.877-16|NATALIA ROCHA|60150-160|FORTALEZA|CE|3899|315.86
AA100000289BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|26/03/2024|16:26|996.112.535-54|RAFAEL RODRIGUES|74110-010|GOIANIA|GO|3339|135.62
AA100000290BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/07/2024|22:28|622.023.413-26|ANA COSTA|20040-020|RIO DE JANEIRO|RJ|622|468.40
AA100000291BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|07/10/2024|07:01|681.149.216-43|JULIANA ALVES|88010-400|FLORIANOPOLIS|SC|2427|221.58
AA100000292BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|08/03/2024|22:53|200.557.784-87|CARLOS LIMA|88010-400|FLORIANOPOLIS|SC|4517|88.52
AA100000293BR|RDE|OBJETO RETORNOU AO REMETENTE|21/08/2024|19:33|845.783.174-56|RAFAEL RODRIGUES|30130-110|BELO HORIZONTE|MG|2586|5.28
AA100000294BR|RDE|OBJETO RETORNOU AO REMETENTE|10/03/2024|17:18|780.774.064-93|JOAO DA SILVA|90010-160|PORTO ALEGRE|RS|3160|94.29
AA100000295BR|RDE|OBJETO RETORNOU AO REMETENTE|11/08/2024|18:15|266.341.638-94|PATRICIA LIMA|66015-110|BELEM|PA|4457|404.40
AA100000296BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|06/04/2024|08:11|241.797.497-35|JOAO DA SILVA|30130-110|BELO HORIZONTE|MG|506|484.86
AA100000297BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|05/04/2024|09:18|427.031.207-35|LARISSA CARVALHO|60150-160|FORTALEZA|CE|4182|498.98
AA100000298BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|22/12/2024|07:21|120.461.872-34|DIEGO NASCIMENTO|59010-000|NATAL|RN|203|60.98
AA100000299BR|EXT|OBJETO EXTRAVIADO|07/05/2024|18:49|730.371.837-64|BRUNO FERREIRA|30130-110|BELO HORIZONTE|MG|445|372.36
AA100000300BR|RDE|OBJETO RETORNOU AO REMETENTE|23/09/2024|09:16|743.503.136-50|FERNANDA SANTOS|29010-330|VITORIA|ES|2361|292.35
AA100000301BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/05/2024|06:02|979.251.327-19|BRUNO FERREIRA|57020-480|MACEIO|AL|591|29.89
AA100000302BR|EXT|OBJETO EXTRAVIADO|19/03/2024|09:08|735.857.306-52|RAFAEL RODRIGUES|57020-480|MACEIO|AL|423|242.65
AA100000303BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|13/10/2024|15:34|739.285.574-98|FERNANDA SANTOS|20040-020|RIO DE JANEIRO|RJ|4451|77.51
AA100000304BR|OEC|OBJETO EM ROTA DE ENTREGA|14/05/2024|17:29|086.209.593-51|ISABELA FREITAS|59010-000|NATAL|RN|3274|94.93
AA100000305BR|EXT|OBJETO EXTRAVIADO|11/09/2024|10:39|456.511.810-22|MARIA SOUZA|40020-010|SALVADOR|BA|976|242.69
AA100000306BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|17/01/2024|18:42|789.940.539-10|LUCAS PEREIRA|66015-110|BELEM|PA|4125|464.20
AA100000307BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|27/08/2024|07:23|865.094.801-41|LUCAS PEREIRA|90010-160|PORTO ALEGRE|RS|895|50.61
AA100000308BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|29/09/2024|18:12|383.928.861-95|THIAGO ARAUJO|88010-400|FLORIANOPOLIS|SC|3598|441.41
AA100000309BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|02/04/2024|18:32|528.975.585-56|LARISSA CARVALHO|59010-000|NATAL|RN|2749|304.21
AA100000310BR|RDE|OBJETO RETORNOU AO REMETENTE|06/10/2024|12:24|845.776.004-90|GABRIEL MENDES|30130-110|BELO HORIZONTE|MG|2572|3.28
AA100000311BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|19/04/2024|16:01|488.899.210-75|CARLOS LIMA|30130-110|BELO HORIZONTE|MG|2270|183.54
AA100000312BR|RDE|OBJETO RETORNOU AO REMETENTE|07/05/2024|13:16|419.693.157-27|LEONARDO BARBOSA|59010-000|NATAL|RN|881|297.62
AA100000313BR|OEC|OBJETO EM ROTA DE ENTREGA|20/01/2024|18:05|055.661.390-60|PATRICIA LIMA|90010-160|PORTO ALEGRE|RS|437|159.66
AA100000314BR|RDE|OBJETO RETORNOU AO REMETENTE|17/03/2024|16:32|320.679.981-36|PATRICIA LIMA|29010-330|VITORIA|ES|3330|74.01
AA100000315BR|OEC|OBJETO EM ROTA DE ENTREGA|12/02/2024|21:36|086.416.862-27|ISABELA FREITAS|40020-010|SALVADOR|BA|4096|197.66
AA100000316BR|RDE|OBJETO RETORNOU AO REMETENTE|10/04/2024|22:15|314.659.116-65|CAMILA MARTINS|40020-010|SALVADOR|BA|2727|172.26
AA100000317BR|EXT|OBJETO EXTRAVIADO|13/01/2024|15:10|597.927.033-52|PEDRO OLIVEIRA|20040-020|RIO DE JANEIRO|RJ|546|121.52
