NR_CONHECIMENTO,DT_OCORRENCIA,HR_OCORRENCIA,CD_OCORRENCIA,DS_OCORRENCIA,NR_CPF_CNPJ,NM_DESTINATARIO,NR_CEP,NM_CIDADE,SG_UF,VL_FRETE,VL_MERCADORIA,NR_TENTATIVA
JL9000000174,2024-02-06,21:06:00,S,SAIU PARA ENTREGA,12413936967,ISABELA FREITAS,74110010,GOIANIA,GO,54.60,202.99,1
JL9000000175,2024-10-16,22:30:00,S,SAIU PARA ENTREGA,67731922760759,GABRIEL MENDES,90010160,PORTO ALEGRE,RS,52.76,324.37,1
JL9000000176,2024-08-03,17:15:00,R,DEVOLVIDO AO REMETENTE,94319165430,GABRIEL MENDES,66015110,BELEM,PA,60.21,289.11,1
JL9000000177,2024-06-20,11:14:00,D,ENTREGUE,21915057644974,AMANDA RIBEIRO,01310100,SAO PAULO,SP,59.19,0.60,1
JL9000000178,2024-08-03,20:25:00,V,TENTATIVA SEM SUCESSO - AUSENTE,67649797416,LUCAS PEREIRA,69005010,MANAUS,AM,72.12,213.32,2
JL9000000179,2024-01-18,14:54:00,V,TENTATIVA SEM SUCESSO - AUSENTE,63553730964969,FERNANDA SANTOS,50010000,RECIFE,PE,39.78,54.95,2
JL9000000180,2024-11-21,17:08:00,E,EXTRAVIO,35305970255,ANA COSTA,30130110,BELO HORIZONTE,MG,46.09,231.34,1
JL9000000181,2024-12-11,12:27:00,V,TENTATIVA SEM SUCESSO - AUSENTE,15948989596,CAMILA MARTINS,57020480,MACEIO,AL,28.28,328.73,2
JL9000000182,2024-05-06,15:21:00,V,TENTATIVA SEM SUCESSO - AUSENTE,43441491699,LEONARDO BARBOSA,40020010,SALVADOR,BA,62.21,121.23,2
JL9000000183,2024-12-27,14:17:00,E,EXTRAVIO,39464088223,MARIA SOUZA,74110010,GOIANIA,GO,31.63,210.06,1
JL9000000184,2024-11-05,21:46:00,S,SAIU PARA ENTREGA,88941321097,CARLOS LIMA,01310100,SAO PAULO,SP,57.77,57.57,1
JL9000000185,2024-09-02,07:30:00,V,TENTATIVA SEM SUCESSO - AUSENTE,85346557922,MARIA SOUZA,40020010,SALVADOR,BA,8.73,150.89,2
JL9000000186,2024-10-17,19:54:00,V,TENTATIVA SEM SUCESSO - AUSENTE,12939002512,ANA COSTA,40020010,SALVADOR,BA,60.84,230.74,2
JL9000000187,2024-07-20,17:33:00,R,DEVOLVIDO AO REMETENTE,35957086199,LUCAS PEREIRA,20040020,RIO DE JANEIRO,RJ,26.80,180.25,1
JL9000000188,2024-06-01,12:16:00,R,DEVOLVIDO AO REMETENTE,63113885034,FERNANDA SANTOS,40020010,SALVADOR,BA,67.67,78.79,1
JL9000000189,2024-12-09,10:02:00,S,SAIU PARA ENTREGA,74246310437968,DIEGO NASCIMENTO,29010330,VITORIA,ES,67.15,415.60,1
JL9000000190,2024-01-17,16:45:00,R,DEVOLVIDO AO REMETENTE,94690217741,THIAGO ARAUJO,60150160,FORTALEZA,CE,21.56,18.77,1
JL9000000191,2024-04-16,16:03:00,S,SAIU PARA ENTREGA,50228946652,THIAGO ARAUJO,29010330,VITORIA,ES,32.25,436.07,1
JL9000000192,2024-03-22,12:12:00,S,SAIU PARA ENTREGA,29302025691,LUCAS PEREIRA,40020010,SALVADOR,BA,71.20,114.86,1
JL9000000193,2024-04-22,12:16:00,T,EM TRANSFERENCIA,11675076279,NATALIA ROCHA,80010010,CURITIBA,PR,62.07,157.59,1
JL9000000194,2024-01-30,11:17:00,R,DEVOLVIDO AO REMETENTE,01239847230,LUCAS PEREIRA,60150160,FORTALEZA,CE,59.61,475.38,1
JL9000000195,2024-03-08,07:08:00,E,EXTRAVIO,19017222405,MARIA SOUZA,50010000,RECIFE,PE,66.63,361.11,1
JL9000000196,2024-05-12,20:46:00,D,ENTREGUE,77546199240,DIEGO NASCIMENTO,80010010,CURITIBA,PR,54.07,113.70,1
JL9000000197,2024-08-13,10:50:00,R,DEVOLVIDO AO REMETENTE,25812259095,DIEGO NASCIMENTO,69005010,MANAUS,AM,62.59,140.87,1
JL9000000198,2024-05-10,22:46:00,R,DEVOLVIDO AO REMETENTE,37337912121101,GABRIEL MENDES,50010000,RECIFE,PE,77.55,20.98,1
JL9000000199,2024-12-22,17:44:00,E,EXTRAVIO,90170740392,CAMILA MARTINS,20040020,RIO DE JANEIRO,RJ,50.32,309.71,1
JL9000000200,2024-05-08,17:11:00,E,EXTRAVIO,17122276433,ISABELA FREITAS,50010000,RECIFE,PE,21.09,10.73,1
JL9000000201,2024-05-28,10:09:00,D,ENTREGUE,65496330833,PATRICIA LIMA,60150160,FORTALEZA,CE,29.75,438.60,1
JL9000000202,2024-01-10,15:32:00,E,EXTRAVIO,99504702059,DIEGO NASCIMENTO,29010330,VITORIA,ES,44.54,174.68,1
JL9000000203,2024-11-09,16:12:00,R,DEVOLVIDO AO REMETENTE,49266329563,RAFAEL RODRIGUES,30130110,BELO HORIZONTE,MG,40.57,249.00,1
JL9000000204,2024-06-12,11:10:00,V,TENTATIVA SEM SUCESSO - AUSENTE,06165812920,CAMILA MARTINS,74110010,GOIANIA,GO,60.21,78.83,2
JL9000000205,2024-10-30,15:07:00,D,ENTREGUE,63029559636,JULIANA ALVES,50010000,RECIFE,PE,56.12,406.18,1
JL9000000206,2024-11-26,19:11:00,E,EXTRAVIO,20661549808,BRUNO FERREIRA,20040020,RIO DE JANEIRO,RJ,22.01,361.93,1
JL9000000207,2024-04-24,07:02:00,V,TENTATIVA SEM SUCESSO - AUSENTE,32112212154,GABRIEL MENDES,66015110,BELEM,PA,73.64,56.33,2
JL9000000208,2024-07-09,10:55:00,T,EM TRANSFERENCIA,87640191854,ISABELA FREITAS,90010160,PORTO ALEGRE,RS,12.21,154.65,1
JL9000000209,2024-06-05,10:53:00,R,DEVOLVIDO AO REMETENTE,62987787358566,PATRICIA LIMA,59010000,NATAL,RN,36.75,155.40,1
JL9000000210,2024-03-01,19:46:00,S,SAIU PARA ENTREGA,21926221320,PATRICIA LIMA,88010400,FLORIANOPOLIS,SC,12.61,142.16,1
JL9000000211,2024-11-09,14:34:00,S,SAIU PARA ENTREGA,14789117972,LARISSA CARVALHO,74110010,GOIANIA,GO,51.88,488.38,1
JL9000000212,2024-05-22,22:06:00,R,DEVOLVIDO AO REMETENTE,31800366602000,CAMILA MARTINS,57020480,MACEIO,AL,22.16,80.65,1
JL9000000213,2024-06-21,12:34:00,T,EM TRANSFERENCIA,10505243838058,FERNANDA SANTOS,57020480,MACEIO,AL,38.09,405.16,1
JL9000000214,2024-03-28,07:03:00,T,EM TRANSFERENCIA,62763328389,DIEGO NASCIMENTO,66015110,BELEM,PA,64.85,479.87,1
JL9000000215,2024-04-19,21:26:00,R,DEVOLVIDO AO REMETENTE,51862671368410,PEDRO OLIVEIRA,40020010,SALVADOR,BA,19.16,252.92,1
JL9000000216,2024-03-21,12:57:00,S,SAIU PARA ENTREGA,21883527918,AMANDA RIBEIRO,80010010,CURITIBA,PR,58.99,382.13,1
JL9000000217,2024-12-24,06:25:00,T,EM TRANSFERENCIA,10659208814,JULIANA ALVES,29010330,VITORIA,ES,13.40,63.72,1
JL9000000218,2024-11-06,20:26:00,D,ENTREGUE,81596983845,AMANDA RIBEIRO,30130110,BELO HORIZONTE,MG,60.88,8.32,1
JL9000000219,2024-03-18,18:24:00,V,TENTATIVA SEM SUCESSO - AUSENTE,68629591257,LUCAS PEREIRA,60150160,FORTALEZA,CE,52.41,296.59,2
JL9000000220,2024-03-24,16:20:00,S,SAIU PARA ENTREGA,60742990747,CARLOS LIMA,29010330,VITORIA,ES,52.45,211.53,1
JL9000000221,2024-06-04,08:48:00,T,EM TRANSFERENCIA,67080897474,ISABELA FREITAS,80010010,CURITIBA,PR,57.36,425.30,1
JL9000000222,2024-05-25,18:17:00,D,ENTREGUE,39841673478,BRUNO FERREIRA,40020010,SALVADOR,BA,36.70,290.76,1
JL9000000223,2024-09-30,09:24:00,V,TENTATIVA SEM SUCESSO - AUSENTE,80445092860,BRUNO FERREIRA,30130110,BELO HORIZONTE,MG,16.52,443.81,2
JL9000000224,2024-01-17,11:25:00,S,SAIU PARA ENTREGA,06648900824,ISABELA FREITAS,59010000,NATAL,RN,26.19,260.04,1
JL9000000225,2024-04-23,06:35:00,E,EXTRAVIO,30574883997,RAFAEL RODRIGUES,59010000,NATAL,RN,69.53,497.42,1
JL9000000226,2024-10-10,17:26:00,S,SAIU PARA ENTREGA,75000305661995,LUCAS PEREIRA,01310100,SAO PAULO,SP,73.60,475.16,1
JL9000000227,2024-07-17,15:06:00,E,EXTRAVIO,93784679087,JOAO DA SILVA,66015110,BELEM,PA,16.52,236.05,1
JL9000000228,2024-07-31,07:01:00,D,ENTREGUE,36510344442,NATALIA ROCHA,74110010,GOIANIA,GO,75.55,196.70,1
JL9000000229,2024-05-20,16:27:00,E,EXTRAVIO,65240622155,NATALIA ROCHA,74110010,GOIANIA,GO,39.41,238.84,1
JL9000000230,2024-06-10,19:49:00,S,SAIU PARA ENTREGA,21905334704747,DIEGO NASCIMENTO,60150160,FORTALEZA,CE,46.97,342.37,1
JL9000000231,2024-06-15,17:38:00,S,SAIU PARA ENTREGA,52138350712,PATRICIA LIMA,80010010,CURITIBA,PR,60.46,109.08,1
JL9000000232,2024-03-26,07:00:00,R,DEVOLVIDO AO REMETENTE,22117327726,RAFAEL RODRIGUES,90010160,PORTO ALEGRE,RS,54.26,365.75,1
JL9000000233,2024-11-12,17:35:00,V,TENTATIVA SEM SUCESSO - AUSENTE,58522942525,ANA COSTA,69005010,MANAUS,AM,16.33,251.18,2
JL9000000234,2024-09-07,17:39:00,D,ENTREGUE,05080549147,THIAGO ARAUJO,60150160,FORTALEZA,CE,27.39,115.16,1
JL9000000235,2024-07-06,12:22:00,S,SAIU PARA ENTREGA,84171594973,RAFAEL RODRIGUES,60150160,FORTALEZA,CE,69.01,301.52,1
JL9000000236,2024-01-19,16:14:00,T,EM TRANSFERENCIA,03318361133,GABRIEL MENDES,57020480,MACEIO,AL,51.26,91.11,1
JL9000000237,2024-01-20,22:30:00,E,EXTRAVIO,28152787304,ISABELA FREITAS,69005010,MANAUS,AM,21.24,342.14,1
JL9000000238,2024-06-09,11:07:00,T,EM TRANSFERENCIA,65353780189,ANA COSTA,80010010,CURITIBA,PR,38.59,239.18,1
JL9000000239,2024-05-29,14:55:00,T,EM TRANSFERENCIA,77629691433,DIEGO NASCIMENTO,30130110,BELO HORIZONTE,MG,50.31,287.80,1
JL9000000240,2024-07-11,19:16:00,V,TENTATIVA SEM SUCESSO - AUSENTE,99900108985739,JOAO DA SILVA,90010160,PORTO ALEGRE,RS,73.23,416.33,2
JL9000000241,2024-12-16,16:10:00,D,ENTREGUE,89684424648,GABRIEL MENDES,60150160,FORTALEZA,CE,52.59,469.58,1
JL9000000242,2024-12-09,20:37:00,V,TENTATIVA SEM SUCESSO - AUSENTE,85759582819,MARIA SOUZA,30130110,BELO HORIZONTE,MG,18.33,220.55,2
JL9000000243,2024-10-25,20:46:00,E,EXTRAVIO,12488397170,BRUNO FERREIRA,29010330,VITORIA,ES,49.80,149.62,1
JL9000000244,2024-05-14,16:51:00,D,ENTREGUE,36728681123,JOAO DA SILVA,40020010,SALVADOR,BA,46.03,170.86,1
JL9000000245,2024-08-10,09:49:00,D,ENTREGUE,97814590099,FERNANDA SANTOS,59010000,NATAL,RN,15.59,234.01,1
JL9000000246,2024-01-25,17:20:00,S,SAIU PARA ENTREGA,66933515880,THIAGO ARAUJO,88010400,FLORIANOPOLIS,SC,8.86,418.07,1
JL9000000247,2024-06-12,12:08:00,R,DEVOLVIDO AO REMETENTE,11939103829,AMANDA RIBEIRO,60150160,FORTALEZA,CE,17.68,433.07,1
JL9000000248,2024-06-27,09:15:00,R,DEVOLVIDO AO REMETENTE,90858181045,MARIA SOUZA,57020480,MACEIO,AL,17.77,106.09,1
JL9000000249,2024-08-24,12:25:00,D,ENTREGUE,87366271358,NATALIA ROCHA,69005010,MANAUS,AM,48.92,104.49,1
JL9000000250,2024-05-03,07:45:00,D,ENTREGUE,85615473156,DIEGO NASCIMENTO,40020010,SALVADOR,BA,50.10,284.05,1
JL9000000251,2024-07-01,17:50:00,D,ENTREGUE,43690283772702,ISABELA FREITAS,74110010,GOIANIA,GO,38.37,382.85,1
JL9000000252,2024-07-12,19:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,42816441610,ANA COSTA,74110010,GOIANIA,GO,79.94,230.91,2
JL9000000253,2024-06-14,12:21:00,E,EXTRAVIO,46405103880,CARLOS LIMA,50010000,RECIFE,PE,78.57,4.14,1
JL9000000254,2024-03-14,21:26:00,S,SAIU PARA ENTREGA,81444718939,BRUNO FERREIRA,29010330,VITORIA,ES,23.22,10.80,1
JL9000000255,2024-07-29,07:26:00,T,EM TRANSFERENCIA,90922884987,RAFAEL RODRIGUES,59010000,NATAL,RN,31.03,480.46,1
JL9000000256,2024-02-27,13:53:00,V,TENTATIVA SEM SUCESSO - AUSENTE,72717430688,ANA COSTA,29010330,VITORIA,ES,15.61,191.87,2
JL9000000257,2024-05-18,07:12:00,V,TENTATIVA SEM SUCESSO - AUSENTE,98818738775,GABRIEL MENDES,40020010,SALVADOR,BA,60.73,107.22,2
JL9000000258,2024-05-25,21:28:00,D,ENTREGUE,13090915386,JOAO DA SILVA,30130110,BELO HORIZONTE,MG,47.24,197.95,1
JL9000000259,2024-06-27,14:50:00,S,SAIU PARA ENTREGA,41231905772,JOAO DA SILVA,60150160,FORTALEZA,CE,62.57,33.14,1
JL9000000260,2024-01-29,21:44:00,E,EXTRAVIO,41932453810,NATALIA ROCHA,50010000,RECIFE,PE,59.45,154.78,1
JL9000000261,2024-11-20,10:09:00,V,TENTATIVA SEM SUCESSO - AUSENTE,70987264963,FERNANDA SANTOS,30130110,BELO HORIZONTE,MG,34.87,495.93,2
JL9000000262,2024-06-01,10:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,32611890034686,ANA COSTA,88010400,FLORIANOPOLIS,SC,35.47,25.13,2
JL9000000263,2024-01-07,10:34:00,T,EM TRANSFERENCIA,20200953662,PEDRO OLIVEIRA,74110010,GOIANIA,GO,33.95,204.64,1
JL9000000264,2024-10-05,06:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,95001732590,JOAO DA SILVA,29010330,VITORIA,ES,41.22,307.67,2
JL9000000265,2024-02-15,12:48:00,D,ENTREGUE,22113869087,PEDRO OLIVEIRA,66015110,BELEM,PA,36.07,71.27,1
JL9000000266,2024-03-02,06:51:00,V,TENTATIVA SEM SUCESSO - AUSENTE,46171928170,THIAGO ARAUJO,60150160,FORTALEZA,CE,30.06,203.53,2
JL9000000267,2024-03-15,13:48:00,V,TENTATIVA SEM SUCESSO - AUSENTE,22521602523,LEONARDO BARBOSA,60150160,FORTALEZA,CE,62.38,70.96,2
JL9000000268,2024-12-06,06:37:00,V,TENTATIVA SEM SUCESSO - AUSENTE,77269032655,ANA COSTA,40020010,SALVADOR,BA,74.45,235.16,2
JL9000000269,2024-02-10,20:38:00,V,TENTATIVA SEM SUCESSO - AUSENTE,02455985160,CARLOS LIMA,20040020,RIO DE JANEIRO,RJ,15.65,333.71,2
JL9000000270,2024-06-12,08:10:00,T,EM TRANSFERENCIA,64986478686,CARLOS LIMA,40020010,SALVADOR,BA,41.38,499.56,1
JL9000000271,2024-01-05,22:33:00,V,TENTATIVA SEM SUCESSO - AUSENTE,40837819190,AMANDA RIBEIRO,60150160,FORTALEZA,CE,52.62,283.63,2
JL9000000272,2024-02-13,19:19:00,D,ENTREGUE,98369235348486,RAFAEL RODRIGUES,50010000,RECIFE,PE,76.01,19.54,1
JL9000000273,2024-03-21,09:14:00,E,EXTRAVIO,65462202123,AMANDA RIBEIRO,66015110,BELEM,PA,75.59,74.19,1
JL9000000274,2024-01-08,17:57:00,V,TENTATIVA SEM SUCESSO - AUSENTE,33000088634673,LEONARDO BARBOSA,20040020,RIO DE JANEIRO,RJ,52.08,1.68,2
JL9000000275,2024-09-23,08:07:00,V,TENTATIVA SEM SUCESSO - AUSENTE,00916923273798,LEONARDO BARBOSA,88010400,FLORIANOPOLIS,SC,41.11,358.18,2
JL9000000276,2024-01-23,18:00:00,E,EXTRAVIO,54818674630,MARIA SOUZA,01310100,SAO PAULO,SP,74.34,407.97,1
JL9000000277,2024-10-28,22:17:00,R,DEVOLVIDO AO REMETENTE,61137118151,NATALIA ROCHA,90010160,PORTO ALEGRE,RS,54.49,347.15,1
JL9000000278,2024-06-17,22:09:00,E,EXTRAVIO,42034015353,RAFAEL RODRIGUES,69005010,MANAUS,AM,37.60,223.24,1
JL9000000279,2024-07-11,14:18:00,E,EXTRAVIO,46672010824,JOAO DA SILVA,29010330,VITORIA,ES,18.03,385.00,1
JL9000000280,2024-02-16,22:09:00,S,SAIU PARA ENTREGA,87940262085,GABRIEL MENDES,57020480,MACEIO,AL,13.04,131.04,1
JL9000000281,2024-06-15,10:29:00,S,SAIU PARA ENTREGA,53642357004,PEDRO OLIVEIRA,30130110,BELO HORIZONTE,MG,52.62,496.25,1
JL9000000282,2024-10-13,10:35:00,R,DEVOLVIDO AO REMETENTE,81612559046,ANA COSTA,57020480,MACEIO,AL,10.28,232.32,1
JL9000000283,2024-03-29,13:03:00,V,TENTATIVA SEM SUCESSO - AUSENTE,00128382710,PEDRO OLIVEIRA,88010400,FLORIANOPOLIS,SC,71.29,453.69,2
JL9000000284,2024-04-12,10:36:00,R,DEVOLVIDO AO REMETENTE,61512048507,LARISSA CARVALHO,69005010,MANAUS,AM,62.10,112.19,1
JL9000000285,2024-05-12,15:24:00,R,DEVOLVIDO AO REMETENTE,42276346019153,JOAO DA SILVA,80010010,CURITIBA,PR,43.94,371.76,1
JL9000000286,2024-11-16,12:46:00,V,TENTATIVA SEM SUCESSO - AUSENTE,24358617682,FERNANDA SANTOS,80010010,CURITIBA,PR,62.49,374.73,2
JL9000000287,2024-03-05,20:42:00,S,SAIU PARA ENTREGA,08666562241,NATALIA ROCHA,57020480,MACEIO,AL,39.82,498.89,1
JL9000000288,2024-10-06,20:32:00,V,TENTATIVA SEM SUCESSO - AUSENTE,47712903500,LARISSA CARVALHO,57020480,MACEIO,AL,15.84,255.13,2
JL9000000289,2024-09-13,21:19:00,S,SAIU PARA ENTREGA,54340466821215,LARISSA CARVALHO,59010000,NATAL,RN,26.20,369.13,1
JL9000000290,2024-07-01,11:22:00,V,TENTATIVA SEM SUCESSO - AUSENTE,20644111973,ISABELA FREITAS,90010160,PORTO ALEGRE,RS,13.78,73.38,2
JL9000000291,2024-05-07,06:54:00,R,DEVOLVIDO AO REMETENTE,43594882188,RAFAEL RODRIGUES,74110010,GOIANIA,GO,65.70,268.42,1
JL9000000292,2024-07-26,18:16:00,D,ENTREGUE,11021254341,FERNANDA SANTOS,40020010,SALVADOR,BA,70.15,59.23,1
JL9000000293,2024-07-24,07:19:00,E,EXTRAVIO,86037218600,LUCAS PEREIRA,30130110,BELO HORIZONTE,MG,12.50,349.43,1
JL9000000294,2024-02-23,20:35:00,E,EXTRAVIO,01140034713,ANA COSTA,29010330,VITORIA,ES,57.67,373.77,1
JL9000000295,2024-10-28,20:48:00,R,DEVOLVIDO AO REMETENTE,01625908419,PATRICIA LIMA,59010000,NATAL,RN,78.43,233.33,1
JL9000000296,2024-09-25,16:55:00,V,TENTATIVA SEM SUCESSO - AUSENTE,11375358210,AMANDA RIBEIRO,57020480,MACEIO,AL,19.99,264.24,2
JL9000000297,2024-08-15,22:47:00,D,ENTREGUE,79037161608,GABRIEL MENDES,20040020,RIO DE JANEIRO,RJ,64.10,234.99,1
JL9000000298,2024-03-20,10:57:00,S,SAIU PARA ENTREGA,96477183753,MARIA SOUZA,50010000,RECIFE,PE,71.24,279.83,1
JL9000000299,2024-02-24,06:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,85578002443,CARLOS LIMA,40020010,SALVADOR,BA,71.10,482.00,2
JL9000000300,2024-03-24,09:25:00,E,EXTRAVIO,69685746706751,LARISSA CARVALHO,74110010,GOIANIA,GO,57.69,122.95,1
JL9000000301,2024-07-05,10:05:00,V,TENTATIVA SEM SUCESSO - AUSENTE,16426107033508,RAFAEL RODRIGUES,57020480,MACEIO,AL,64.29,141.03,2
JL9000000302,2024-04-18,09:39:00,E,EXTRAVIO,92484813004,ANA COSTA,88010400,FLORIANOPOLIS,SC,38.61,404.68,1
JL9000000303,2024-02-08,06:20:00,S,SAIU PARA ENTREGA,15167586463395,JULIANA ALVES,60150160,FORTALEZA,CE,47.60,46.74,1
JL9000000304,2024-06-15,06:52:00,D,ENTREGUE,47642789615,AMANDA RIBEIRO,40020010,SALVADOR,BA,47.73,160.48,1
JL9000000305,2024-02-26,10:34:00,D,ENTREGUE,75123959781,BRUNO FERREIRA,80010010,CURITIBA,PR,26.69,188.19,1
JL9000000306,2024-11-23,07:48:00,R,DEVOLVIDO AO REMETENTE,72360244654,LARISSA CARVALHO,29010330,VITORIA,ES,41.31,70.67,1
JL9000000307,2024-07-02,08:28:00,D,ENTREGUE,30871564783703,ANA COSTA,50010000,RECIFE,PE,30.90,489.35,1
JL9000000308,2024-09-28,06:49:00,S,SAIU PARA ENTREGA,41485726029,FERNANDA SANTOS,80010010,CURITIBA,PR,26.69,375.87,1
JL9000000309,2024-12-16,22:25:00,S,SAIU PARA ENTREGA,28840766420,THIAGO ARAUJO,66015110,BELEM,PA,72.25,341.60,1
JL9000000310,2024-03-14,21:04:00,R,DEVOLVIDO AO REMETENTE,53867625923,GABRIEL MENDES,69005010,MANAUS,AM,59.99,417.95,1
JL9000000311,2024-11-06,07:26:00,R,DEVOLVIDO AO REMETENTE,48869320553,RAFAEL RODRIGUES,01310100,SAO PAULO,SP,32.97,12.70,1
JL9000000312,2024-09-25,10:30:00,S,SAIU PARA ENTREGA,15976405356,THIAGO ARAUJO,01310100,SAO PAULO,SP,61.05,250.10,1
JL9000000313,2024-08-25,21:45:00,V,TENTATIVA SEM SUCESSO - AUSENTE,26190384227,LUCAS PEREIRA,59010000,NATAL,RN,36.98,418.65,2
JL9000000314,2024-08-21,12:11:00,D,ENTREGUE,22711175769,ANA COSTA,50010000,RECIFE,PE,15.68,82.19,1
JL9000000315,2024-05-30,11:39:00,E,EXTRAVIO,44869830521,LARISSA CARVALHO,74110010,GOIANIA,GO,8.57,292.26,1
JL9000000316,2024-04-01,11:01:00,S,SAIU PARA ENTREGA,98014264710,LARISSA CARVALHO,90010160,PORTO ALEGRE,RS,9.82,35.73,1
JL9000000317,2024-08-25,06:58:00,S,SAIU PARA ENTREGA,16370500493,LUCAS PEREIRA,30130110,BELO HORIZONTE,MG,37.76,229.42,1
JL9000000318,2024-05-09,14:24:00,E,EXTRAVIO,17294763808,JULIANA ALVES,74110010,GOIANIA,GO,10.34,198.85,1
JL9000000319,2024-06-15,14:03:00,S,SAIU PARA ENTREGA,99851939327,FERNANDA SANTOS,29010330,VITORIA,ES,43.51,270.46,1
JL9000000320,2024-02-14,11:57:00,E,EXTRAVIO,63504960266765,FERNANDA SANTOS,50010000,RECIFE,PE,70.14,276.48,1
JL9000000321,2024-06-04,17:13:00,E,EXTRAVIO,99507088640,LARISSA CARVALHO,88010400,FLORIANOPOLIS,SC,43.65,181.69,1
JL9000000322,2024-07-30,06:10:00,D,ENTREGUE,19290221543,NATALIA ROCHA,01310100,SAO PAULO,SP,28.12,271.11,1
JL9000000323,2024-01-18,13:11:00,S,SAIU PARA ENTREGA,33320235102,CAMILA MARTINS,57020480,MACEIO,AL,54.94,165.69,1
JL9000000324,2024-01-31,09:39:00,R,DEVOLVIDO AO REMETENTE,54503698884,LUCAS PEREIRA,74110010,GOIANIA,GO,21.94,387.88,1
JL9000000325,2024-04-08,11:18:00,S,SAIU PARA ENTREGA,29620805983,ANA COSTA,30130110,BELO HORIZONTE,MG,67.88,394.33,1
JL9000000326,2024-05-18,08:10:00,E,EXTRAVIO,59659992012376,LUCAS PEREIRA,20040020,RIO DE JANEIRO,RJ,42.64,154.50,1
JL9000000327,2024-07-09,14:10:00,D,ENTREGUE,62941937591,LEONARDO BARBOSA,30130110,BELO HORIZONTE,MG,21.02,223.17,1
JL9000000328,2024-12-25,13:06:00,T,EM TRANSFERENCIA,62647528646,ANA COSTA,57020480,MACEIO,AL,73.21,350.61,1
JL9000000329,2024-11-13,19:07:00,T,EM TRANSFERENCIA,30099284524,MARIA SOUZA,40020010,SALVADOR,BA,19.97,52.95,1
JL9000000330,2024-06-30,13:55:00,V,TENTATIVA SEM SUCESSO - AUSENTE,51432191430,GABRIEL MENDES,59010000,NATAL,RN,39.80,458.66,2
JL9000000331,2024-08-24,10:16:00,T,EM TRANSFERENCIA,25422188345,ISABELA FREITAS,29010330,VITORIA,ES,15.88,90.17,1
JL9000000332,2024-01-04,15:49:00,E,EXTRAVIO,06769333299,ISABELA FREITAS,69005010,MANAUS,AM,33.51,178.98,1
JL9000000333,2024-11-12,07:10:00,V,TENTATIVA SEM SUCESSO - AUSENTE,84640858588,LUCAS PEREIRA,59010000,NATAL,RN,61.19,85.90,2
JL9000000334,2024-06-13,19:45:00,T,EM TRANSFERENCIA,20846729254355,PEDRO OLIVEIRA,29010330,VITORIA,ES,50.16,84.39,1
JL9000000335,2024-03-22,11:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,18256247286394,FERNANDA SANTOS,66015110,BELEM,PA,8.92,425.54,2
JL9000000336,2024-03-27,11:15:00,V,TENTATIVA SEM SUCESSO - AUSENTE,99290096627026,DIEGO NASCIMENTO,01310100,SAO PAULO,SP,26.88,415.52,2
JL9000000337,2024-06-24,07:37:00,V,TENTATIVA SEM SUCESSO - AUSENTE,21740039101,LEONARDO BARBOSA,40020010,SALVADOR,BA,25.68,381.51,2
JL9000000338,2024-10-02,11:08:00,S,SAIU PARA ENTREGA,71193600608,CARLOS LIMA,50010000,RECIFE,PE,42.98,18.64,1
JL9000000339,2024-07-23,14:25:00,D,ENTREGUE,60762643850,JOAO DA SILVA,74110010,GOIANIA,GO,31.44,231.51,1
JL9000000340,2024-04-12,14:27:00,D,ENTREGUE,62313361094,PATRICIA LIMA,88010400,FLORIANOPOLIS,SC,14.71,217.64,1
JL9000000341,2024-03-11,12:45:00,D,ENTREGUE,44137277685,AMANDA RIBEIRO,69005010,MANAUS,AM,72.39,376.03,1
JL9000000342,2024-08-04,12:50:00,V,TENTATIVA SEM SUCESSO - AUSENTE,29046175518,ISABELA FREITAS,50010000,RECIFE,PE,9.42,43.27,2
JL9000000343,2024-09-10,12:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,02483744417,FERNANDA SANTOS,40020010,SALVADOR,BA,27.34,214.20,2
JL9000000344,2024-06-20,12:32:00,T,EM TRANSFERENCIA,79025485362,LARISSA CARVALHO,90010160,PORTO ALEGRE,RS,48.88,140.44,1
JL9000000345,2024-08-27,11:12:00,E,EXTRAVIO,41009538557,RAFAEL RODRIGUES,30130110,BELO HORIZONTE,MG,14.58,363.06,1
JL9000000346,2024-04-30,16:49:00,E,EXTRAVIO,09378146047,LARISSA CARVALHO,88010400,FLORIANOPOLIS,SC,14.76,111.06,1
JL9000000347,2024-09-15,22:16:00,V,TENTATIVA SEM SUCESSO - AUSENTE,06618756467,CARLOS LIMA,66015110,BELEM,PA,71.13,377.51,2
JL9000000348,2024-07-25,08:23:00,R,DEVOLVIDO AO REMETENTE,18589900277,FERNANDA SANTOS,74110010,GOIANIA,GO,68.70,5.55,1
JL9000000349,2024-09-21,15:21:00,D,ENTREGUE,86043566050,JULIANA ALVES,88010400,FLORIANOPOLIS,SC,25.85,133.50,1
